Parties,Parties_2,Status,Date of signature,Date of entry into force,Date of termination,Type of termination,Amendment protocols
Afghanistan, Germany,In force,20/04/2005,12/10/2007,,,No
Albania, Germany,In force,31/10/1991,18/08/1995,,,No
Algeria, Germany,In force,11/03/1996,30/05/2002,,,No
Angola, Germany,In force,30/10/2003,01/03/2007,,,No
Antigua and Barbuda, Germany,In force,05/11/1998,28/02/2001,,,No
Argentina, Germany,In force,09/04/1991,08/11/1993,,,No
Armenia, Germany,In force,21/12/1995,04/08/2000,,,No
Azerbaijan, Germany,In force,22/12/1995,29/07/1998,,,No
Bahrain, Germany,In force,05/02/2007,27/05/2010,,,No
Bangladesh, Germany,In force,06/05/1981,14/09/1986,,,No
Barbados, Germany,In force,02/12/1994,11/05/2002,,,No
Belarus, Germany,In force,02/04/1993,23/09/1996,,,No
Benin, Germany,In force,29/06/1978,18/07/1985,,,No
"Bolivia, Plurinational State of", Germany,Terminated,23/03/1987,09/11/1990,13/05/2013,Unilaterally denounced,No
Bosnia and Herzegovina, Germany,In force,18/10/2001,11/11/2007,,,No
Botswana, Germany,In force,23/05/2000,06/08/2007,,,No
Brazil, Germany,Signed,21/09/1995,,,,No
Brunei Darussalam, Germany,In force,30/03/1998,15/06/2004,,,No
Bulgaria, Germany,In force,12/04/1986,10/03/1988,,,No
Burkina Faso, Germany,In force,22/10/1996,21/11/2009,,,No
Burundi, Germany,In force,10/09/1984,09/12/1987,,,No
Cabo Verde, Germany,In force,18/01/1990,15/12/1993,,,No
Cambodia, Germany,In force,15/02/1999,14/04/2002,,,No
Cameroon, Germany,In force,29/06/1962,21/11/1963,,,No
Central African Republic, Germany,In force,23/08/1965,21/01/1968,,,No
Chad, Germany,In force,11/04/1967,23/11/1968,,,No
Chile, Germany,In force,21/10/1991,08/05/1999,,,No
China, Germany,In force,01/12/2003,11/11/2005,,,No
China, Germany,Terminated,07/10/1983,18/03/1985,11/11/2005,Replaced by new treaty,No
"Congo, Democratic Republic of the", Germany,In force,18/03/1969,22/07/1971,,,No
Congo, Germany,In force,13/09/1965,14/10/1967,,,No
Congo, Germany,Signed,22/11/2010,,,,No
Costa Rica, Germany,In force,13/09/1994,24/03/1998,,,No
Côte d'Ivoire, Germany,In force,27/10/1966,10/06/1968,,,No
Croatia, Germany,In force,21/03/1997,28/09/2000,,,No
Cuba, Germany,In force,30/04/1996,22/11/1998,,,No
Czech Republic, Germany,In force,02/10/1990,02/08/1992,,,No
Dominica, Germany,In force,01/10/1984,11/05/1986,,,No
Ecuador, Germany,Terminated,28/06/1965,,12/02/1999,Replaced by new treaty,No
Ecuador, Germany,In force,21/03/1996,12/02/1999,,,No
Egypt, Germany,Terminated,05/07/1974,22/07/1978,22/11/2009,Replaced by new treaty,No
Egypt, Germany,In force,16/06/2005,22/11/2009,,,No
El Salvador, Germany,In force,11/12/1997,15/04/2001,,,No
Estonia, Germany,In force,12/11/1992,12/01/1997,,,No
Ethiopia, Germany,Terminated,21/04/1964,,04/05/2006,Replaced by new treaty,No
Ethiopia, Germany,In force,19/01/2004,04/05/2006,,,No
Gabon, Germany,Terminated,16/05/1969,29/03/1971,04/07/2007,Replaced by new treaty,No
Gabon, Germany,In force,15/09/1998,04/07/2007,,,No
Georgia, Germany,In force,25/06/1993,27/09/1998,,,No
 Ghana,Germany,In force,24/02/1995,23/11/1998,,,No
 Greece,Germany,In force,27/03/1961,15/07/1963,,,No
 Guatemala,Germany,In force,17/10/2003,29/10/2006,,,No
 Guinea,Germany,Terminated,19/04/1962,13/03/1965,14/08/2014,Replaced by new treaty,No
 Guinea,Germany,In force,08/11/2006,14/08/2014,,,No
 Guyana,Germany,In force,06/12/1989,09/03/1994,,,No
 Haiti,Germany,In force,14/08/1973,01/12/1975,,,No
 Honduras,Germany,In force,21/03/1995,27/05/1998,,,No
" Hong Kong, China SAR",Germany,In force,31/01/1996,19/02/1998,,,No
 Hungary,Germany,In force,30/04/1986,07/11/1987,,,No
 India,Germany,Terminated,10/07/1995,13/07/1998,03/06/2017,Unilaterally denounced,No
 Indonesia,Germany,Terminated,08/11/1968,19/04/1971,02/06/2007,Replaced by new treaty,No
 Indonesia,Germany,Terminated,14/05/2003,02/06/2007,01/06/2017,Unilaterally denounced,No
" Iran, Islamic Republic of",Germany,Terminated,11/11/1965,06/05/1968,23/06/2005,Replaced by new treaty,No
" Iran, Islamic Republic of",Germany,In force,17/08/2002,23/06/2005,,,No
 Iraq,Germany,Signed,04/12/2010,,,,No
 Israel,Germany,Signed,24/06/1976,,,,No
 Jamaica,Germany,In force,24/09/1992,29/05/1996,,,No
 Jordan,Germany,In force,13/11/2007,28/08/2010,,,No
