country_name,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976
All countries,#,"4,807","5,295","5,961","7,589","7,617","7,746","11,353","9,052","14,244","11,949"
,,,,,,,,,,,
Developed countries,"4,270","3,464","3,326","4,388","5,212","5,433","5,681","9,987","10,669","7,699","8,919"
,,,,,,,,,,,
Canada,"1,612","1,022","1,219","1,584","1,462","1,086","1,755","2,448","2,857","2,592","2,471"
,,,,,,,,,,,
Europe,"2,249","1,858","1,601","2,250","3,029","3,424","3,030","6,576","6,432","4,585","5,492"
,,,,,,,,,,,
European Communities (9),"1,772","1,478","1,205","1,817","2,472","2,947","2,611","5,294","4,405","3,374","4,162"
Belgium and Luxembourg,164,115,115,181,262,292,253,420,426,305,240
Belgium,96,92,137,152,226,236,246,429,419,196,191
Luxembourg, ,24,-22,27,35,56,8,-9,7,110,49
France,164,145,21,204,473,420,436,803,604,805,43
"Germany, Federal Republic of",595,394,266,492,365,599,"1,009","1,699",349,757,"1,787"
Italy,154,135,36,153,134,330,129,348,478,11,244
Netherlands,171,101,118,154,269,167,213,434,778,-43,352
Denmark,26,48,-68,59,56,-4,23,106,176,-57,100
Ireland,21,22,32,39,19,30,55,75,125,174,238
United Kingdom,477,519,686,535,893,"1,112",492,"1,409","1,469","1,420","1,157"
,,,,,,,,,,,
Other Europe,477,380,396,433,558,477,419,"1,282","2,026","1,211","1,330"
Norway,17,26,24,25,37,24,32,104,245,77,366
Spain,114,69,102,9,138,73,141,73,417,365,224
Sweden,52,72,86,91,61,72,31,100,182,77,32
Switzerland,204,158,132,229,249,209,158,806,888,485,603
Other,90,55,52,80,73,99,58,199,294,207,106
Austria,15,6,10,15,20,28,26,12,32,61,34
Cyprus,-1,4,-1,3,-2,-4,2,4,-3,(*),-1
Finland,9,1,2,5,8,7,13,9,23,29,15
Gibraltar,(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*)
Greece,25,7,8,-6,17,22,20,47,114,47,17
Iceland,2,1,(*),(*),(*),(*),(*),1,1,1,(*)
Liechtenstein,7,(D),(D),(D),(D),(D),(D),(D),(D),15,(D)
Malta,1,(*),(*),(D),(D),(*),2,(D),13,(D),(D)
Portugal,5,7,7,24,15,21,12,30,43,-13,10
Turkey,14,-1,4,21,-5,5,-47,25,24,24,6
Yugoslavia,(*),(*),2,(D),(*),(*),(*),(D),(*),11,-1
Unallocated/1/,13,(D),(D),(D),9,(D),(D),(D),(D),(D),-1
,,,,,,,,,,,
Japan,90,103,169,221,255,431,402,339,606,23,454
,,,,,,,,,,,
"Australia, New Zealand and South Africa",319,481,337,333,465,492,494,624,774,499,502
Australia,232,410,268,278,343,374,398,329,394,360,387
New Zealand,14,5,9,(*),16,22,28,68,86,18,31
South Africa,72,66,61,54,107,96,68,227,294,121,84
,,,,,,,,,,,
Developing countries,926,"1,032","1,606","1,157","1,717","1,561","1,612",715,"-2,732","6,815","3,049"
,,,,,,,,,,,
Latin America and Other Western Hemisphere ,612,513,"1,069",716,"1,032","1,069",917,"1,646","3,353","2,866","1,762"
,,,,,,,,,,,
Latin American Republics,464,393,796,675,750,745,611,"1,178","1,369","2,048",730
Argentina,12,58,67,104,67,67,40,11,-8,30,211
