country_name,1977,1978,1979,1980,1981
All countries,"11,893","16,056","25,222","19,222","9,624"
,,,,,
Developed countries,"7,866","10,555","18,191","17,893","5,965"
,,,,,
Canada,"1,581","1,206","4,477","3,906",-757
,,,,,
Europe,"5,289","7,820","12,259","13,011","5,278"
,,,,,
European Communities (10),"4,077","6,570","9,993","10,811","3,257"
Belgium,635,246,"1,104",386,-28
Denmark,20,116,224,149,104
France,260,634,870,"1,243",-157
"Germany, Federal Republic of",416,"1,482",882,"1,581",293
Greece,17,8,61,-31,1
Ireland,273,376,478,468,315
Italy,62,512,679,"1,028",-36
Luxembourg,106,-107,-24,86,9
Netherlands,456,708,"1,647","1,103",769
United Kingdom,"1,831","2,596","4,073","4,797","1,989"
,,,,,
Other Europe,"1,212","1,249","2,267","2,200","2,021"
Austria,46,40,43,73,59
Norway,260,-64,156,322,613
Portugal,29,25,29,36,46
Spain,201,-92,492,53,189
Sweden,6,43,197,93,-84
Switzerland,646,"1,231","1,261","1,551","1,184"
Turkey,(D),20,-22,-15,1
Other,(D),47,110,87,13
Cyprus,(D),(D),8,-2,-3
Finland,-5,3,9,26,24
Gibraltar,(D),(D),(D),(D),(D)
Iceland,(*),(*),(*),-1,(*)
Liechtenstein,22,27,60,54,-15
Malta,(D),(D),(D),(D),(D)
Romania,(D),(D),(D),(D),(D)
Union of Soviet Socialist Republics,(D),(D),(D),(D),(D)
Yugoslavia,1,(D),(D),(D),(D)
Unallocated/1/,0,(*),-1,(*),-3
,,,,,
Japan,411,725,760,19,488
,,,,,
"Australia, New Zealand, and South Africa",585,804,694,957,956
Australia,456,608,550,478,623
New Zealand,18,42,67,48,52
South Africa,111,154,77,432,281
,,,,,
Developing countries,"4,192","5,587","6,967","1,150","2,993"
,,,,,
Latin America and Other Western Hemisphere,"3,949","4,014","3,362","2,833",-197
,,,,,
South America,833,"1,652","1,418","1,677","1,931"
Argentina,106,138,419,680,308
Brazil,391,"1,213",350,338,521
Chile,25,33,92,253,309
Colombia,58,76,134,106,154
Ecuador,-82,27,24,19,-48
Peru,35,45,324,131,264
Venezuela,278,116,12,73,343
Other,23,4,63,77,81
Bolivia,6,-31,10,25,39
French Guiana,-1,(D),(D),(D),0
Guyana,-1,2,2,(*),3
Paraguay,12,-2,-17,10,6
Suriname,-3,(D),(D),(D),(D)
Uruguay,11,15,21,36,18
Unallocated/1/,0,(D),(D),(D),(D)
,,,,,
Central America,410,557,"1,286","1,868","1,492"
Mexico,200,414,828,"1,461",951
Panama,189,107,359,227,536
Other,21,37,99,180,5
Belize,12,(*),-2,3,13
Costa Rica,8,14,44,64,-52
El Salvador,-2,16,(*),6,7
Guatemala,-16,-7,36,33,5
Honduras,14,7,51,73,39
Nicaragua,6,6,-30,1,-6
,,,,,
Other Western Hemisphere,"2,705","1,805",658,-713,"-3,620"
Bahamas,65,545,735,452,294
Bermuda,"1,870","1,384",858,967,-693
Netherlands Antilles,493,-33,"-1,255","-2,636","-2,970"
Trinidad and Tobago,280,-87,45,17,-18
Other,-4,-5,274,488,-233
Barbados,(*),2,3,8,2
Cuba,(*),(D),(D),(D),(D)
Dominican Republic,-8,29,-61,65,51
"French Islands, Caribbean",-1,8,1,(*),-3
Grenada,(*),(D),(D),(D),(D)
Haiti,2,(*),5,14,-2
Jamaica,-6,-47,-25,99,22
United Kingdom Associated States,1,(*),14,3,102
"United Kingdom Islands, Caribbean",9,3,337,300,-404
Unallocated/1/,0,(*),(*),0,0
,,,,,
Other Africa,-238,437,499,635,434
Saharan,-105,262,401,293,-35
Egypt,55,198,194,-7,43
Libya,-162,61,163,297,-88
Other,2,3,44,3,10
Algeria,-8,-4,5,2,-19
Morocco,2,10,-3,10,-2
Tunisia,8,-3,42,-9,31
Sub-Saharan,-133,175,99,342,469
Liberia,-133,-100,30,40,-72
Nigeria,7,21,-84,78,202
Other,-7,254,153,223,339
Angola,-66,185,-14,-37,174
Benin,-3,(D),0,0,0
Botswana,(D),(D),(D),(D),(D)
