country_name,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
All countries,"1,078","9,525","13,045","13,388","19,641","30,154","18,599","37,604","30,982","32,696","42,647","77,247","73,252","92,074","84,426","95,769","131,004","209,392","142,627","124,873","134,946","129,352","294,905","15,369","224,220","393,518","308,296","287,901","277,779","396,569","318,196","303,432","294,754","262,569","280,681"
Canada,"-1,690","1,347","3,556",59,"2,741","6,097","2,510","1,268","3,902","1,337","2,068","3,584","6,047","8,602","7,181","7,642","7,832","22,824","16,899","16,841","15,003","17,340","24,005","13,556","-1,551","22,331","12,293","14,342","17,594","48,598","29,608","20,650","27,134","9,533","18,077"
Europe,"3,470","6,467","6,119","7,993","8,260","12,035","8,431","23,679","10,194","19,563","18,931","45,914","34,380","52,275","40,148","48,318","86,129","109,484","77,976","65,580","79,492","87,509","137,319","-29,035","147,687","239,803","178,415","165,064","175,995","235,409","158,958","157,885","148,793","164,041","182,637"
Austria,-91,-8,35,-6,-169,-56,-19,33,54,130,92,-6,744,513,105,-14,"1,123",167,-780,"1,314",564,"1,609",44,"-7,685","1,085","1,079","1,327","1,942","1,273","2,111","1,667","1,123",293,"2,226","2,790"
Belgium,289,-189,353,7,-370,"1,045",485,669,746,"1,411",778,675,"2,004","2,750","1,349",-46,932,"1,431","-1,508","4,126","2,195",721,"6,367","7,697","3,864","7,562","4,415","4,679","3,846","4,494","-2,798","2,338",-800,453,"4,331"
Czech Republic,,,,,,,,,,,,,,,,,,41,125,238,44,172,239,428,69,172,763,-307,"1,028",647,284,337,572,104,-341
Denmark,105,212,42,33,-252,-289,132,(D),(D),219,-29,141,360,-95,454,14,415,"1,318","1,621",256,"1,538","-1,602",843,732,-390,837,"1,231",716,935,"6,679","1,562",651,785,-99,"1,357"
Finland,19,30,8,56,6,40,33,(D),(D),-76,28,117,118,158,175,327,309,329,146,179,76,221,333,-6,488,-99,188,72,-420,333,13,-107,-45,"-1,366","2,073"
France,76,155,207,828,480,"1,078","1,789","1,584","1,267","2,737","3,857",-495,"2,634","5,196","4,463","2,971","4,323","2,111","1,967",476,"4,604","1,074","6,988","-1,156","7,076","12,010",-341,"10,266","4,812","1,615",-470,"1,446",830,"4,868","1,913"
"Germany, Federal Republic of",370,760,447,383,"1,203",805,"-1,822","2,522","1,626","4,832","1,754","4,263","2,863","3,349","1,956","2,464","3,051","5,658","3,811","11,823","2,416","4,376","9,073","7,978","2,703","9,569",775,"7,839","5,898","8,187","1,860","-2,409","-2,498","1,754","5,921"
